"Povpreène meseène bruto plaèe (EUR) po statistiènih regijah prebivališèa, starostnih skupinah in spolu, Slovenija, letno"

"LETO";"STATISTIÈNA REGIJA";"STAROST";"SPOL";Povpreène meseène bruto plaèe (EUR)
"2009";"Zasavska";"65 let ali veè";"Moški";z
"2009";"Zasavska";"65 let ali veè";"Ženske";-
"2009";"Posavska";"15-24 let";"Moški";956
"2009";"Posavska";"15-24 let";"Ženske";903
"2009";"Posavska";"25-34 let";"Moški";1225
"2009";"Posavska";"25-34 let";"Ženske";1188
"2009";"Posavska";"35-44 let";"Moški";1395
"2009";"Posavska";"35-44 let";"Ženske";1327
"2009";"Posavska";"45-54 let";"Moški";1536
"2009";"Posavska";"45-54 let";"Ženske";1374
"2009";"Posavska";"55-64 let";"Moški";1641
"2009";"Posavska";"55-64 let";"Ženske";1877
"2009";"Posavska";"65 let ali veè";"Moški";4246
"2009";"Posavska";"65 let ali veè";"Ženske";z
"2009";"Jugovzhodna Slovenija";"15-24 let";"Moški";932
"2009";"Jugovzhodna Slovenija";"15-24 let";"Ženske";966
"2009";"Jugovzhodna Slovenija";"25-34 let";"Moški";1252
"2009";"Jugovzhodna Slovenija";"25-34 let";"Ženske";1218
"2009";"Jugovzhodna Slovenija";"35-44 let";"Moški";1442
"2009";"Jugovzhodna Slovenija";"35-44 let";"Ženske";1390
"2009";"Jugovzhodna Slovenija";"45-54 let";"Moški";1496
"2009";"Jugovzhodna Slovenija";"45-54 let";"Ženske";1464
"2009";"Jugovzhodna Slovenija";"55-64 let";"Moški";1670
"2009";"Jugovzhodna Slovenija";"55-64 let";"Ženske";2137
"2009";"Jugovzhodna Slovenija";"65 let ali veè";"Moški";4470
"2009";"Jugovzhodna Slovenija";"65 let ali veè";"Ženske";z
"2009";"Osrednjeslovenska";"15-24 let";"Moški";935
"2009";"Osrednjeslovenska";"15-24 let";"Ženske";940
"2009";"Osrednjeslovenska";"25-34 let";"Moški";1430
"2009";"Osrednjeslovenska";"25-34 let";"Ženske";1387
"2009";"Osrednjeslovenska";"35-44 let";"Moški";1792
"2009";"Osrednjeslovenska";"35-44 let";"Ženske";1693
"2009";"Osrednjeslovenska";"45-54 let";"Moški";1782
"2009";"Osrednjeslovenska";"45-54 let";"Ženske";1707
"2009";"Osrednjeslovenska";"55-64 let";"Moški";2029
"2009";"Osrednjeslovenska";"55-64 let";"Ženske";2203
"2009";"Osrednjeslovenska";"65 let ali veè";"Moški";4421
"2009";"Osrednjeslovenska";"65 let ali veè";"Ženske";3616
"2009";"Gorenjska";"15-24 let";"Moški";942
"2009";"Gorenjska";"15-24 let";"Ženske";902
"2009";"Gorenjska";"25-34 let";"Moški";1330
"2009";"Gorenjska";"25-34 let";"Ženske";1241
"2009";"Gorenjska";"35-44 let";"Moški";1628
"2009";"Gorenjska";"35-44 let";"Ženske";1450
"2009";"Gorenjska";"45-54 let";"Moški";1581
"2009";"Gorenjska";"45-54 let";"Ženske";1483
"2009";"Gorenjska";"55-64 let";"Moški";1749
"2009";"Gorenjska";"55-64 let";"Ženske";1910
"2009";"Gorenjska";"65 let ali veè";"Moški";3773
"2009";"Gorenjska";"65 let ali veè";"Ženske";2481
"2009";"Primorsko-notranjska";"15-24 let";"Moški";880
"2009";"Primorsko-notranjska";"15-24 let";"Ženske";856
"2009";"Primorsko-notranjska";"25-34 let";"Moški";1238
"2009";"Primorsko-notranjska";"25-34 let";"Ženske";1218
"2009";"Primorsko-notranjska";"35-44 let";"Moški";1434
"2009";"Primorsko-notranjska";"35-44 let";"Ženske";1342
"2009";"Primorsko-notranjska";"45-54 let";"Moški";1451
"2009";"Primorsko-notranjska";"45-54 let";"Ženske";1416
"2009";"Primorsko-notranjska";"55-64 let";"Moški";1635
"2009";"Primorsko-notranjska";"55-64 let";"Ženske";1701
"2009";"Primorsko-notranjska";"65 let ali veè";"Moški";4079
"2009";"Primorsko-notranjska";"65 let ali veè";"Ženske";-
"2009";"Goriška";"15-24 let";"Moški";873
"2009";"Goriška";"15-24 let";"Ženske";868
"2009";"Goriška";"25-34 let";"Moški";1256
"2009";"Goriška";"25-34 let";"Ženske";1235
"2009";"Goriška";"35-44 let";"Moški";1547
"2009";"Goriška";"35-44 let";"Ženske";1389
"2009";"Goriška";"45-54 let";"Moški";1580
"2009";"Goriška";"45-54 let";"Ženske";1474
"2009";"Goriška";"55-64 let";"Moški";1834
"2009";"Goriška";"55-64 let";"Ženske";1941
"2009";"Goriška";"65 let ali veè";"Moški";4703
"2009";"Goriška";"65 let ali veè";"Ženske";z
"2009";"Obalno-kraška";"15-24 let";"Moški";876
"2009";"Obalno-kraška";"15-24 let";"Ženske";897
"2009";"Obalno-kraška";"25-34 let";"Moški";1282
"2009";"Obalno-kraška";"25-34 let";"Ženske";1252
"2009";"Obalno-kraška";"35-44 let";"Moški";1622
"2009";"Obalno-kraška";"35-44 let";"Ženske";1514
"2009";"Obalno-kraška";"45-54 let";"Moški";1665
"2009";"Obalno-kraška";"45-54 let";"Ženske";1532
"2009";"Obalno-kraška";"55-64 let";"Moški";1841
"2009";"Obalno-kraška";"55-64 let";"Ženske";1821
"2009";"Obalno-kraška";"65 let ali veè";"Moški";3303
"2009";"Obalno-kraška";"65 let ali veè";"Ženske";z
"2010";"Pomurska";"15-24 let";"Moški";938
"2010";"Pomurska";"15-24 let";"Ženske";902
"2010";"Pomurska";"25-34 let";"Moški";1211
"2010";"Pomurska";"25-34 let";"Ženske";1180
"2010";"Pomurska";"35-44 let";"Moški";1380
"2010";"Pomurska";"35-44 let";"Ženske";1291
"2010";"Pomurska";"45-54 let";"Moški";1437
"2010";"Pomurska";"45-54 let";"Ženske";1425
"2010";"Pomurska";"55-64 let";"Moški";1614
"2010";"Pomurska";"55-64 let";"Ženske";1922
"2010";"Pomurska";"65 let ali veè";"Moški";3302
"2010";"Pomurska";"65 let ali veè";"Ženske";z
"2010";"Podravska";"15-24 let";"Moški";952
"2010";"Podravska";"15-24 let";"Ženske";918
"2010";"Podravska";"25-34 let";"Moški";1279
"2010";"Podravska";"25-34 let";"Ženske";1234
"2010";"Podravska";"35-44 let";"Moški";1509
"2010";"Podravska";"35-44 let";"Ženske";1407
"2010";"Podravska";"45-54 let";"Moški";1524
"2010";"Podravska";"45-54 let";"Ženske";1505
"2010";"Podravska";"55-64 let";"Moški";1782
"2010";"Podravska";"55-64 let";"Ženske";1891
"2010";"Podravska";"65 let ali veè";"Moški";4331
"2010";"Podravska";"65 let ali veè";"Ženske";3487
"2010";"Koroška";"15-24 let";"Moški";1005
"2010";"Koroška";"15-24 let";"Ženske";914
"2010";"Koroška";"25-34 let";"Moški";1253
"2010";"Koroška";"25-34 let";"Ženske";1183
"2010";"Koroška";"35-44 let";"Moški";1465
"2010";"Koroška";"35-44 let";"Ženske";1407
"2010";"Koroška";"45-54 let";"Moški";1535
"2010";"Koroška";"45-54 let";"Ženske";1512
"2010";"Koroška";"55-64 let";"Moški";1757
"2010";"Koroška";"55-64 let";"Ženske";1937
"2010";"Koroška";"65 let ali veè";"Moški";z
"2010";"Koroška";"65 let ali veè";"Ženske";z
"2010";"Savinjska";"15-24 let";"Moški";969
"2010";"Savinjska";"15-24 let";"Ženske";944
"2010";"Savinjska";"25-34 let";"Moški";1297
"2010";"Savinjska";"25-34 let";"Ženske";1217
"2010";"Savinjska";"35-44 let";"Moški";1494
"2010";"Savinjska";"35-44 let";"Ženske";1363
"2010";"Savinjska";"45-54 let";"Moški";1578
"2010";"Savinjska";"45-54 let";"Ženske";1443
"2010";"Savinjska";"55-64 let";"Moški";1776
"2010";"Savinjska";"55-64 let";"Ženske";1860
"2010";"Savinjska";"65 let ali veè";"Moški";3901
"2010";"Savinjska";"65 let ali veè";"Ženske";z
"2010";"Zasavska";"15-24 let";"Moški";986
"2010";"Zasavska";"15-24 let";"Ženske";911
"2010";"Zasavska";"25-34 let";"Moški";1302
"2010";"Zasavska";"25-34 let";"Ženske";1277
"2010";"Zasavska";"35-44 let";"Moški";1556
"2010";"Zasavska";"35-44 let";"Ženske";1381
"2010";"Zasavska";"45-54 let";"Moški";1591
"2010";"Zasavska";"45-54 let";"Ženske";1435
"2010";"Zasavska";"55-64 let";"Moški";1748
"2010";"Zasavska";"55-64 let";"Ženske";1768
"2010";"Zasavska";"65 let ali veè";"Moški";z
"2010";"Zasavska";"65 let ali veè";"Ženske";z
"2010";"Posavska";"15-24 let";"Moški";992
"2010";"Posavska";"15-24 let";"Ženske";926
"2010";"Posavska";"25-34 let";"Moški";1278
"2010";"Posavska";"25-34 let";"Ženske";1270
"2010";"Posavska";"35-44 let";"Moški";1456
"2010";"Posavska";"35-44 let";"Ženske";1368
"2010";"Posavska";"45-54 let";"Moški";1548
"2010";"Posavska";"45-54 let";"Ženske";1461
"2010";"Posavska";"55-64 let";"Moški";1812
"2010";"Posavska";"55-64 let";"Ženske";1890
"2010";"Posavska";"65 let ali veè";"Moški";z
"2010";"Posavska";"65 let ali veè";"Ženske";z
"2010";"Jugovzhodna Slovenija";"15-24 let";"Moški";1005
"2010";"Jugovzhodna Slovenija";"15-24 let";"Ženske";1014
"2010";"Jugovzhodna Slovenija";"25-34 let";"Moški";1334
"2010";"Jugovzhodna Slovenija";"25-34 let";"Ženske";1279
"2010";"Jugovzhodna Slovenija";"35-44 let";"Moški";1531
"2010";"Jugovzhodna Slovenija";"35-44 let";"Ženske";1472
"2010";"Jugovzhodna Slovenija";"45-54 let";"Moški";1607
"2010";"Jugovzhodna Slovenija";"45-54 let";"Ženske";1552
"2010";"Jugovzhodna Slovenija";"55-64 let";"Moški";1781
"2010";"Jugovzhodna Slovenija";"55-64 let";"Ženske";2145
"2010";"Jugovzhodna Slovenija";"65 let ali veè";"Moški";3398
"2010";"Jugovzhodna Slovenija";"65 let ali veè";"Ženske";z
"2010";"Osrednjeslovenska";"15-24 let";"Moški";1000
"2010";"Osrednjeslovenska";"15-24 let";"Ženske";978
"2010";"Osrednjeslovenska";"25-34 let";"Moški";1481
"2010";"Osrednjeslovenska";"25-34 let";"Ženske";1426
"2010";"Osrednjeslovenska";"35-44 let";"Moški";1866
"2010";"Osrednjeslovenska";"35-44 let";"Ženske";1749
"2010";"Osrednjeslovenska";"45-54 let";"Moški";1851
"2010";"Osrednjeslovenska";"45-54 let";"Ženske";1761
"2010";"Osrednjeslovenska";"55-64 let";"Moški";2137
"2010";"Osrednjeslovenska";"55-64 let";"Ženske";2242
"2010";"Osrednjeslovenska";"65 let ali veè";"Moški";4394
"2010";"Osrednjeslovenska";"65 let ali veè";"Ženske";3207
"2010";"Gorenjska";"15-24 let";"Moški";1001
"2010";"Gorenjska";"15-24 let";"Ženske";947
"2010";"Gorenjska";"25-34 let";"Moški";1385
"2010";"Gorenjska";"25-34 let";"Ženske";1293
"2010";"Gorenjska";"35-44 let";"Moški";1697
"2010";"Gorenjska";"35-44 let";"Ženske";1500
"2010";"Gorenjska";"45-54 let";"Moški";1653
"2010";"Gorenjska";"45-54 let";"Ženske";1537
"2010";"Gorenjska";"55-64 let";"Moški";1830
"2010";"Gorenjska";"55-64 let";"Ženske";1968
"2010";"Gorenjska";"65 let ali veè";"Moški";4307
"2010";"Gorenjska";"65 let ali veè";"Ženske";z
"2010";"Primorsko-notranjska";"15-24 let";"Moški";946
"2010";"Primorsko-notranjska";"15-24 let";"Ženske";950
"2010";"Primorsko-notranjska";"25-34 let";"Moški";1273
"2010";"Primorsko-notranjska";"25-34 let";"Ženske";1244
"2010";"Primorsko-notranjska";"35-44 let";"Moški";1471
"2010";"Primorsko-notranjska";"35-44 let";"Ženske";1353
"2010";"Primorsko-notranjska";"45-54 let";"Moški";1481
"2010";"Primorsko-notranjska";"45-54 let";"Ženske";1444
"2010";"Primorsko-notranjska";"55-64 let";"Moški";1665
"2010";"Primorsko-notranjska";"55-64 let";"Ženske";1718
"2010";"Primorsko-notranjska";"65 let ali veè";"Moški";3543
"2010";"Primorsko-notranjska";"65 let ali veè";"Ženske";-
"2010";"Goriška";"15-24 let";"Moški";946
"2010";"Goriška";"15-24 let";"Ženske";915
"2010";"Goriška";"25-34 let";"Moški";1309
"2010";"Goriška";"25-34 let";"Ženske";1254
"2010";"Goriška";"35-44 let";"Moški";1599
"2010";"Goriška";"35-44 let";"Ženske";1444
"2010";"Goriška";"45-54 let";"Moški";1639
"2010";"Goriška";"45-54 let";"Ženske";1538
"2010";"Goriška";"55-64 let";"Moški";1914
"2010";"Goriška";"55-64 let";"Ženske";1972
"2010";"Goriška";"65 let ali veè";"Moški";4225
"2010";"Goriška";"65 let ali veè";"Ženske";z
"2010";"Obalno-kraška";"15-24 let";"Moški";938
"2010";"Obalno-kraška";"15-24 let";"Ženske";943
"2010";"Obalno-kraška";"25-34 let";"Moški";1322
"2010";"Obalno-kraška";"25-34 let";"Ženske";1296
"2010";"Obalno-kraška";"35-44 let";"Moški";1661
"2010";"Obalno-kraška";"35-44 let";"Ženske";1535
"2010";"Obalno-kraška";"45-54 let";"Moški";1725
"2010";"Obalno-kraška";"45-54 let";"Ženske";1580
"2010";"Obalno-kraška";"55-64 let";"Moški";1887
"2010";"Obalno-kraška";"55-64 let";"Ženske";1904
"2010";"Obalno-kraška";"65 let ali veè";"Moški";3389
"2010";"Obalno-kraška";"65 let ali veè";"Ženske";z
"2011";"Pomurska";"15-24 let";"Moški";996
"2011";"Pomurska";"15-24 let";"Ženske";946
"2011";"Pomurska";"25-34 let";"Moški";1250
"2011";"Pomurska";"25-34 let";"Ženske";1220
"2011";"Pomurska";"35-44 let";"Moški";1436
"2011";"Pomurska";"35-44 let";"Ženske";1352
"2011";"Pomurska";"45-54 let";"Moški";1489
"2011";"Pomurska";"45-54 let";"Ženske";1463
"2011";"Pomurska";"55-64 let";"Moški";1640
"2011";"Pomurska";"55-64 let";"Ženske";1858
"2011";"Pomurska";"65 let ali veè";"Moški";3803
"2011";"Pomurska";"65 let ali veè";"Ženske";z
"2011";"Podravska";"15-24 let";"Moški";995
"2011";"Podravska";"15-24 let";"Ženske";956
"2011";"Podravska";"25-34 let";"Moški";1312
"2011";"Podravska";"25-34 let";"Ženske";1258
"2011";"Podravska";"35-44 let";"Moški";1568
"2011";"Podravska";"35-44 let";"Ženske";1441
"2011";"Podravska";"45-54 let";"Moški";1593
"2011";"Podravska";"45-54 let";"Ženske";1511
"2011";"Podravska";"55-64 let";"Moški";1830
"2011";"Podravska";"55-64 let";"Ženske";1891
"2011";"Podravska";"65 let ali veè";"Moški";4162
"2011";"Podravska";"65 let ali veè";"Ženske";3811
"2011";"Koroška";"15-24 let";"Moški";1078
"2011";"Koroška";"15-24 let";"Ženske";951
"2011";"Koroška";"25-34 let";"Moški";1306
"2011";"Koroška";"25-34 let";"Ženske";1194
"2011";"Koroška";"35-44 let";"Moški";1536
"2011";"Koroška";"35-44 let";"Ženske";1437
"2011";"Koroška";"45-54 let";"Moški";1582
"2011";"Koroška";"45-54 let";"Ženske";1523
"2011";"Koroška";"55-64 let";"Moški";1786
"2011";"Koroška";"55-64 let";"Ženske";1918
"2011";"Koroška";"65 let ali veè";"Moški";3768
"2011";"Koroška";"65 let ali veè";"Ženske";z
"2011";"Savinjska";"15-24 let";"Moški";1037
"2011";"Savinjska";"15-24 let";"Ženske";994
"2011";"Savinjska";"25-34 let";"Moški";1329
"2011";"Savinjska";"25-34 let";"Ženske";1248
"2011";"Savinjska";"35-44 let";"Moški";1548
"2011";"Savinjska";"35-44 let";"Ženske";1401
"2011";"Savinjska";"45-54 let";"Moški";1612
"2011";"Savinjska";"45-54 let";"Ženske";1463
"2011";"Savinjska";"55-64 let";"Moški";1822
"2011";"Savinjska";"55-64 let";"Ženske";1826
"2011";"Savinjska";"65 let ali veè";"Moški";3863
"2011";"Savinjska";"65 let ali veè";"Ženske";z
"2011";"Zasavska";"15-24 let";"Moški";1040
"2011";"Zasavska";"15-24 let";"Ženske";960
"2011";"Zasavska";"25-34 let";"Moški";1319
"2011";"Zasavska";"25-34 let";"Ženske";1272
"2011";"Zasavska";"35-44 let";"Moški";1627
"2011";"Zasavska";"35-44 let";"Ženske";1425
"2011";"Zasavska";"45-54 let";"Moški";1629
"2011";"Zasavska";"45-54 let";"Ženske";1462
"2011";"Zasavska";"55-64 let";"Moški";1825
"2011";"Zasavska";"55-64 let";"Ženske";1795
"2011";"Zasavska";"65 let ali veè";"Moški";z
"2011";"Zasavska";"65 let ali veè";"Ženske";z
"2011";"Posavska";"15-24 let";"Moški";1064
"2011";"Posavska";"15-24 let";"Ženske";1000
