"Povpreène meseène bruto plaèe (EUR) po statistiènih regijah prebivališèa, starostnih skupinah in spolu, Slovenija, letno"

"LETO";"STATISTIÈNA REGIJA";"15-24 let Moški";"15-24 let Ženske";"25-34 let Moški";"25-34 let Ženske";"35-44 let Moški";"35-44 let Ženske";"45-54 let Moški";"45-54 let Ženske";"55-64 let Moški";"55-64 let Ženske";"65 let ali veè Moški";"65 let ali veè Ženske"
"2015";"Koroška";z;z;1397;1232;1622;1455;1702;1553;1857;1823;z;z
"2015";"Savinjska";1130;952;1372;1276;1644;1479;1696;1499;1848;1718;3361;2997
"2015";"Zasavska";z;z;1367;1289;1633;1506;1629;1492;1731;1697;z;z
"2015";"Posavska";z;z;1446;1301;1612;1486;1656;1508;1825;1743;z;z
"2015";"Jugovzhodna Slovenija";z;z;1472;1393;1691;1592;1732;1647;1865;1934;z;z
"2015";"Osrednjeslovenska";1133;1027;1511;1433;1983;1840;2004;1870;2086;2070;3636;3443
"2015";"Gorenjska";1150;1003;1446;1313;1814;1586;1853;1597;1913;1792;3360;3362
"2015";"Primorsko-notranjska";z;z;1379;1262;1642;1489;1635;1516;1799;1671;z;z
"2015";"Goriška";z;z;1363;1241;1646;1485;1707;1524;1909;1785;z;z
"2015";"Obalno-kraška";1096;1009;1380;1285;1779;1615;1867;1652;1987;1824;3333;3870
"2016";"Pomurska";z;z;1326;1225;1570;1400;1609;1436;1709;1714;z;z
"2016";"Podravska";1113;966;1371;1276;1666;1517;1739;1564;1794;1747;3670;3312
"2016";"Koroška";z;z;1432;1256;1659;1480;1754;1574;1897;1811;z;z
"2016";"Savinjska";1122;993;1388;1293;1663;1517;1724;1530;1858;1725;3177;3237
"2016";"Zasavska";z;z;1403;1289;1642;1550;1680;1535;1771;1709;z;z
"2016";"Posavska";z;z;1497;1321;1650;1519;1705;1546;1875;1753;z;z
"2016";"Jugovzhodna Slovenija";z;z;1484;1405;1739;1631;1761;1668;1890;1936;z;z
"2016";"Osrednjeslovenska";1149;1051;1526;1433;1994;1859;2053;1923;2100;2085;3637;3437
"2016";"Gorenjska";1182;1026;1468;1323;1855;1630;1920;1652;1944;1832;3683;3287
"2016";"Primorsko-notranjska";z;z;1395;1288;1664;1530;1699;1543;1781;1739;z;z
"2016";"Goriška";z;z;1393;1278;1687;1540;1781;1572;1917;1829;z;z
"2016";"Obalno-kraška";1082;991;1415;1295;1814;1620;1934;1712;2002;1841;3141;2904
"2017";"Pomurska";z;z;1359;1245;1620;1441;1632;1464;1746;1714;z;z
"2017";"Podravska";1143;1027;1419;1295;1718;1556;1795;1611;1846;1774;3496;3074
"2017";"Koroška";1273;1028;1496;1267;1732;1512;1798;1621;1925;1830;3692;3438
"2017";"Savinjska";1168;1016;1435;1306;1708;1547;1782;1573;1893;1736;2816;2942
"2017";"Zasavska";z;z;1452;1302;1696;1567;1739;1572;1780;1715;z;z
"2017";"Posavska";z;z;1524;1352;1705;1527;1748;1591;1901;1760;z;z
"2017";"Jugovzhodna Slovenija";1206;1110;1508;1413;1777;1654;1804;1694;1897;1904;3176;3782
"2017";"Osrednjeslovenska";1165;1078;1554;1468;1995;1890;2091;1969;2125;2090;3386;3407
"2017";"Gorenjska";1211;1080;1513;1360;1872;1657;1966;1704;1963;1829;3629;3363
"2017";"Primorsko-notranjska";z;z;1435;1328;1702;1571;1751;1568;1792;1783;z;z
"2017";"Goriška";1142;1056;1424;1309;1714;1553;1810;1612;1926;1803;3130;2290
"2017";"Obalno-kraška";1167;1043;1465;1323;1825;1638;1959;1733;1999;1854;3075;2916
"2018";"Pomurska";z;z;1427;1285;1698;1486;1695;1498;1775;1734;z;z
"2018";"Podravska";1216;1058;1508;1346;1787;1588;1870;1653;1890;1788;3198;3088
"2018";"Koroška";1293;1042;1565;1322;1809;1547;1870;1654;1956;1840;3813;3540
"2018";"Savinjska";1256;1063;1502;1342;1774;1588;1835;1612;1929;1769;3220;2622
"2018";"Zasavska";z;z;1524;1346;1777;1620;1777;1622;1834;1751;z;z
"2018";"Posavska";1249;1157;1621;1395;1779;1595;1816;1643;1948;1763;3742;3932
"2018";"Jugovzhodna Slovenija";1250;1179;1576;1450;1847;1713;1880;1756;1967;1929;2683;2597
"2018";"Osrednjeslovenska";1219;1117;1632;1519;2058;1925;2176;2041;2176;2126;3157;3307
"2018";"Gorenjska";1265;1112;1592;1418;1948;1707;2060;1755;1994;1871;2983;2763
"2018";"Primorsko-notranjska";z;z;1505;1362;1780;1619;1824;1603;1815;1797;z;z
"2018";"Goriška";1173;1106;1476;1357;1776;1588;1864;1664;1965;1827;3083;3377
"2018";"Obalno-kraška";1208;1069;1509;1349;1850;1653;2037;1803;2010;1880;2800;3183
"2019 (zaèasni podatki)";"Pomurska";1220;1098;1532;1367;1778;1556;1820;1616;1824;1836;3518;3545
"2019 (zaèasni podatki)";"Podravska";1288;1122;1580;1402;1861;1666;1950;1756;1960;1872;3122;3111
"2019 (zaèasni podatki)";"Koroška";1335;1095;1594;1392;1849;1608;1948;1720;2009;1914;3503;3674
"2019 (zaèasni podatki)";"Savinjska";1286;1115;1556;1391;1825;1664;1894;1687;1966;1834;2891;3265
"2019 (zaèasni podatki)";"Zasavska";1278;1182;1567;1410;1834;1706;z;z;1935;1823;z;z
"2019 (zaèasni podatki)";"Posavska";1310;1186;1653;1455;1833;1678;1901;1724;2006;1862;3190;3574
"2019 (zaèasni podatki)";"Jugovzhodna Slovenija";1283;1247;1634;1519;1929;1811;1967;1853;2048;2015;3037;3560
"2019 (zaèasni podatki)";"Osrednjeslovenska";1266;1159;1708;1592;2133;2008;2258;2150;2233;2217;3373;3255
"2019 (zaèasni podatki)";"Gorenjska";1308;1152;1643;1469;1978;1775;2135;1849;2069;1941;2912;2676
"2019 (zaèasni podatki)";"Primorsko-notranjska";1273;1104;1568;1408;1815;1696;z;z;1851;1859;z;z
"2019 (zaèasni podatki)";"Goriška";1235;1115;1529;1403;1824;1663;1932;1745;2014;1900;3026;2933
"2019 (zaèasni podatki)";"Obalno-kraška";1242;1139;1600;1416;1934;1712;2128;1897;2078;1967;2654;3206
